id,name,dmmId,displayName,ruby,bust,cup,waist,hip,height,birthday,bloodType,hobby,prefectures
118,星奈あい,1041110,Ai Hoshina,ほしなあい,83,C,59,87,156,1995-10-29,,漫画、映画、歌,東京都
119,なつめ愛莉,1029718,Airi Natsume,なつめあいり,,,,,,,,,
120,篠宮ゆり,1017666,Yuri Shinomiya,しのみやゆり,80,C,58,80,149,1993-03-13,B,散歩、アニメ,埼玉県
121,望月あやか,1052739,Ayaka Mochizuki,もちづきあやか,90,F,60,92,,1995-11-30,O,オ〇ニー、食べる事、空手、潮吹き,青森県
122,小西まりえ,1020726,Marie Konishi,こにしまりえ,79,C,57,87,148,,,,
123,小梅えな,1053857,Ena Koume,こうめえな,105,K,64,99,160,,,,
124,宇佐美なな,1008154,Nana Usami,うさみなな,85,D,57,86,158,1992-12-31,O,映画鑑賞,
125,加藤ツバキ（夏樹カオル）,17700,Tsubaki Kato (Kaoru Natsuki),かとうつばき（なつきかおる）,83,D,58,88,162,1983-04-23,O,ショッピング,東京都
126,友田真希,4294,Maki Tomoda,ともだまき,90,G,59,88,160,1972-08-20,O,料理,東京都
127,浜崎りお（森下えりか、篠原絵梨香）,20186,Rio Hamasaki (Erika Morishita&nbsp;Erika Shinohara),はまさきりお（もりしたえりか、しのはらえりか）,90,G,57,85,158,1988-06-11,O,ネイルアート,東京都
128,麻倉憂,1002357,Yuu Asakura,あさくらゆう,85,C,56,85,160,1989-12-24,O,ドライブ,静岡県
129,みひな （あずみひな、永井みひな）,1039995,Mihina (Hina Azumi&nbsp;Mihina Nagai),みひな（あずみひな、ながいみひな）,83,D,60,88,,,,アイドル鑑賞,
130,玉木くるみ,1035931,Kurumi Tamaki,たまきくるみ,,,,,,,,,
131,花音うらら,1058115,Urara Kanon,かのんうらら,77,,63,80,148,2000-11-11,,映画鑑賞,
132,広瀬奈々美（堀口奈津美）,1025901,Nanami Hirose (Natsumi Horiguchi),ひろせななみ（ほりぐちなつみ）,89,G,59,88,168,1980-06-04,A,クラシックバレエ,東京都
133,成宮いろは,1030692,Iroha Narimiya,なりみやいろは,86,D,61,88,151,,,映画鑑賞、舞台鑑賞、料理,
134,小坂めぐる,20349,Meguru Kosaka,こさかめぐる,90,G,60,86,156,1986-08-08,,散歩、バドミントン,東京都
135,星崎アンリ,30709,Anri Hoshizaki,ほしざきあんり,88,D,59,87,168,1988-01-22,B,原付に乗ること,東京都
136,朝桐光,1013455,Akari Asagiri,あさぎりあかり,88,F,58,85,164,,A,,
137,美咲かんな,1027558,Kanna Misaki,みさきかんな,85,E,58,88,158,1994-07-03,,,
138,大場ゆい,1018606,Yui Oba,おおばゆい,,,,,,,,,
139,春咲あずみ,17381,Azumi Harusaki,はるさきあずみ,89,F,60,84,159,1986-07-08,A,カラオケ、ショッピング、読書,東京都
140,管野しずか,1003282,Shizuka Kanno,かんのしずか,83,B,61,91,160,1987-11-13,,,東京都
141,天馬ゆい,1069702,Yui Tenma,てんまゆい,81,C,58,85,162,1998-02-14,,ゲーム、アニメ、映画・芝居、潮吹き,
142,黒川すみれ,1047611,Sumire Kurokawa,くろかわすみれ,78,G,56,88,167,1991-04-25,,弓道、体操、カフェ巡り,滋賀県
143,加藤ももか,1038712,Nonoka Sato (Momoka Kato),さとうののか（かとうももか）,85,D,56,91,156,1996-03-12,,読書、クラシックバレエ,東京都
144,成瀬心美（ここみ）,28135,Kokomi Naruse (Kokomi),なるせここみ（ここみ）,89,E,60,82,147,1989-03-03,A,カラオケ、料理,
145,小花のん,1072206,Non Ohana,おはなのん,86,F,60,88,157,2001-06-28,,クラシック音楽鑑賞、歌うこと、クラシックバレエ,
146,松本メイ,1015262,Mei Matsumoto,まつもとめい,90,G,59,86,153,1993-11-03,A,ヨガ、バレーボール,東京都
147,久留木玲,1053520,Rei Kuruki,くるきれい,83,C,59,85,156,1999-12-12,O,,宮城県
148,永瀬ゆい,1052094,Yui Nagase,ながせゆい,77,A,54,85,150,1999-10-15,,,
149,稲場るか,1051008,Ruka Inaba,いなばるか,93,H,59,86,160,2000-01-08,,お笑い、ダンス,
150,北島玲,19759,Rei Kitajima,きたじまれい,96,G,60,89,165,1982-12-18,O,映画鑑賞、水泳,東京都
151,羽生アリサ（羽生ありさ）,1059802,Arisa Hanyu (Arisa Hanyu),はにゅうありさ,93,I,59,90,153,,,,
152,紗々原ゆり,1033869,Yuri Sasahara,ささはらゆり,86,D,59,82,,1992-08-15,,絵を描くこと/バスケットボール,東京都
153,川上奈々美,1013400,Nanami Kawakami,かわかみななみ,79,,57,80,160,1992-10-14,O,ヨガ、マッサージ、ギター,東京都
154,涼川絢音,1024433,Ayane Suzukawa,すずかわあやね,85,E,58,86,157,1993-11-14,A,散歩、ヨガ,福岡県
155,大橋未久,21597,Miku Ohashi,おおはしみく,86,E,58,85,158,1987-12-24,A,バドミントン,
156,武藤あやか,1026902,Ayaka Muto,むとうあやか,88,E,59,88,160,,,,
157,葵つかさ,1006229,Tsukasa Aoi,あおいつかさ,88,E,58,86,163,1990-08-14,O,ジョギング、ジャズ鑑賞、アルトサックス、ピアノ、一輪車,大阪府
158,美咲結衣,1005331,Yui Misaki,みさきゆい,96,F,58,86,156,1989-11-24,,,東京都
159,花咲いあん,1031841,Ian Hanasaki,はなさきいあん,83,C,58,85,160,1994-04-16,,旅行,東京都
160,水原みその,1071048,Misono Mizuhara,みずはらみその,101,J,64,86,,,,,
161,堤さやか,2355,Sayaka Tsutsumi,つつみさやか,85,D,59,84,151,1980-02-03,O,,神奈川県
162,辻井ほのか,1056460,Honoka Tsujii,つじいほのか,96,H,60,88,172,1995-11-15,O,映画鑑賞、バスケットボール,
163,松本まりな,1473,Marina Matsumoto,まつもとまりな,82,C,59,85,158,1969-06-09,A,,神奈川県
164,天使もえ,1025419,Moe Amatsuka,あまつかもえ,84,D,57,82,155,1994-07-10,,料理、読書、どこでも寝られる事,東京都
165,志村玲子,19649,Reiko Shimura,しむられいこ,86,,67,90,162,1971-02-06,,,岡山県
166,木村つな,1014011,Tsuna Kimura,きむらつな,81,B,58,86,151,1993-03-15,,コスプレ（一人ファッションショー）,東京都
167,奥田咲,1008965,Saki Okuda,おくださき,81,G,55,79,148,1992-06-15,O,ショッピング、パソコン,千葉県
168,かすみ果穂,12975,Kaho Kasumi,かすみかほ,85,E,58,82,153,1984-10-14,O,ショッピング,千葉県
169,西野翔,11096,Sho Nishino,にしのしょう,81,C,57,83,159,1985-06-29,O,スノーボード、ウェイクボード,静岡県
170,凛音とうか,1043833,Touka Rinne,りんねとうか,92,I,56,90,165,1990-10-23,O,旅行、映画、スポーツ観戦,千葉県
171,松本菜奈実,1037168,Nanami Matsumoto,まつもとななみ,100,I,62,90,166,,,サッカー観戦,
172,葵百合香,1046237,Yurika Aoi,あおいゆりか,101,G,63,93,,1984-05-21,O,読書、映画,神奈川県
173,千乃あずみ,1022288,Azumi Chino,ちのあずみ,90,G,62,85,157,1993-08-04,A,犬と遊ぶこと、お料理,広島県
174,早乙女らぶ,1006228,Love Saotome,さおとめらぶ,,,,,,,,,
175,北野未奈,1068671,Mina Kitano,きたのみな,90,H,60,89,,2000-05-20,,バレエ、ミュージカル鑑賞,
176,川越ゆい,1020173,Yui Kawagoe,かわごえゆい,88,F,58,85,157,,,,
177,若菜奈央,1031241,Nao Wakana,わかななお,88,,59,88,171,,,ヨガ、水泳、ピアノ,東京都
178,雨宮琴音,27297,Kotone Amamiya,あまみやことね,87,E,56,83,170,1988-03-30,B,ネイルアート、ピアノ,兵庫県
179,水川スミレ,1044982,Sumire Mizukawa,みずかわすみれ,,,,,,,,,
180,優梨まいな,1041759,Maina Yuuri,ゆうりまいな,92,F,67,97,155,1995-05-31,B,絵を描く事、競馬、鉄道,埼玉県
181,枢木みかん,1012295,Mikan Kururugi,くるるぎみかん,83,E,58,86,155,1991-06-25,,読書,静岡県
182,香山美桜,1027747,Mio Kayama,かやまみお,,,,,,,,,
183,若宮はずき,1063059,Hazuki Wakamiya,わかみやはずき,,,,,,,,,
184,一条綺美香,1017210,Kimika Ichijo,いちじょうきみか,90,G,60,82,160,1964-04-11,A,アクセサリー作り、人のお世話をする事、料理,千葉県
185,佐伯由美香,1054923,Yumika Saeki,さえきゆみか,,,,,,,,,
186,末広純,1075675,Jun Suehiro,すえひろじゅん,82,D,60,86,154,,,,
187,新山かえで,1014279,Kaede Niiyama,にいやまかえで,93,H,58,88,168,1986-08-03,,,
188,川村まや,1021308,Maya Kawamura,かわむらまや,85,C,58,86,158,1995-02-22,A,カラオケ、アニソン,東京都
189,西条沙羅,1028658,Sara Saijo,さいじょうさら,95,H,59,92,160,,,スポーツ,
190,月乃ルナ,1050439,Luna Tsukino,つきのるな,82,C,58,86,163,1995-10-01,O,アニメ,東京都
191,仁科百華,1006297,Momoka Nishina,にしなももか,100,J,58,88,166,1991-05-24,B,,東京都
192,紗奈,1008983,Sana Anju,あんじゅさな,86,E,56,83,150,1989-01-14,O,テニス、カラオケ,新潟県
193,鈴香音色,27887,Neiro Suzuka,すずかねいろ,103,J,66,92,155,1988-09-02,O,,東京都
194,若宮穂乃,1049172,Hono Wakamiya,わかみやほの,93,G,61,89,164,,,美容、バドミントン,
195,希崎ジェシカ,26774,Jessica Kizaki,きざきじぇしか,86,D,60,87,160,1989-06-10,O,ボーリング/フルート,東京都
196,倉木しおり,1043753,Kuraki Shiori,くらきしおり,,,,,,,,,
197,保坂えり,1019603,Hosaka Eri,ほさかえり,91,F,59,88,165,1993-12-08,O,料理、書道,京都府
198,Hitomi（田中瞳）,27230,Hitomi (Tanaka Hitomi),ひとみ（たなかひとみ）,113,O,59,83,162,1986-07-18,AB,映画鑑賞,熊本県
199,卯水咲流,1019029,Usui Saryu,うすいさりゅう,84,,59,87,167,1985-12-25,,読書、生け花,東京都
200,めぐり（藤浦めぐ）,22574,Meguri (Fujiura Megu),めぐり（ふじうらめぐ）,95,G,60,88,155,1989-05-04,O,卓球,東京都
201,白桃はな,1064132,Hakuto Hana,しらとはな,78,C,58,88,153,2000-05-12,,着付け、ダンス,山形県
202,小川あさ美,14827,Ogawa Asami,おがわあさみ,87,E,59,89,167,1985-04-11,A,料理、ショッピング,東京都
203,姫川ゆうな,1034491,Himekawa Yuuna (Tsukishiro Ran),ひめかわゆうな（つきしろらん）,85,D,58,84,160,1996-08-03,AB,,東京都
204,明里つむぎ,1037663,Akari Tsumugi,あかりつむぎ,80,B,58,83,155,1998-03-31,O,ネットサーフィン（WiFi命）、アイドル研究,神奈川県
205,小島みなみ,1010958,Kojima Minami,こじまみなみ,85,E,56,83,150,1992-12-14,A,散歩、テニス,神奈川県
206,椿りか,1061348,Tsubaki Rika,つばきりか,,,,,,,,,
207,妃乃ひかり,14128,Hino Hikari,ひのひかり,90,G,52,82,155,1986-03-07,A,旅行,神奈川県
208,鈴木真夕,1017135,Suzuki Mayu,すずきまゆ,,,,,,,,,
209,川上ゆう,1093678,Kawakami Yuu,かわかみゆう,,,,,,,,,
210,桜木優希音,1026630,Sakuragi Yukine,さくらぎゆきね,81,B,58,84,160,,,手芸,東京都
211,星あめり,1046112,Hoshi Ameri,ほしあめり,85,C,58,88,158,,,アニメ鑑賞、麻雀、水泳,
212,星野あかり,11823,Hoshino Akari,ほしのあかり,88,E,58,88,162,1985-08-24,A,油絵、料理,京都府
213,かすみりさ,22196,Kasumi Risa,かすみりさ,90,G,58,85,170,1984-05-31,O,ショッピング、エレクトーン,北海道
214,小池絵美子,8245,Koike Emiko,こいけえみこ,90,F,60,88,161,1976-01-01,,,
215,泉りおん,1042314,Izumi Rion,いずみりおん,80,A,52,89,152,1998-07-27,O,お笑い、ピアノ,栃木県
216,彩奈リナ（七原あかり）,1034956,Ayana Rina (Nanahara Akari),あやなりな（ななはらあかり）,100,I,60,96,163,1989-02-26,A,,神奈川県
217,愛菜りな,23694,Aina Rina,あいなりな,88,E,58,86,153,1986-08-29,,,千葉県
218,井上綾子,1026090,Inoue Ayako,いのうえあやこ,85,C,52,89,160,,,,
219,高杉麻里,1041962,Takasugi Mari,たかすぎまり,,,,,,,,,
220,伊藤舞雪,1042907,Ito Mayuki,いとうまゆき,88,F,54,89,,,,,
221,宮沢ちはる,1038396,Miyazawa Chiharu,みやざわちはる,80,B,58,76,150,1996-05-12,,,
222,吹石れな,1032833,Fukiishi Rena,ふきいしれな,90,G,58,86,165,,,,
223,甲斐ミハル,29745,Kai Miharu,かいみはる,,,,,,,,,
224,碧しの（篠めぐみ）,1001722,Aoi Shino (Shino Megumi),あおいしの（しのめぐみ）,80,B,58,85,163,1990-09-08,A,料理,栃木県
225,夏希みなみ,1025784,Natsuki Minami,なつきみなみ,88,,60,85,165,1992-03-03,O,料理、DVD鑑賞,愛知県
226,KAORI,15570,KAORI,かおり,90,,58,90,165,,,,
227,早川瀬里奈,16618,Hayakawa Serina,はやかわせりな,86,D,57,83,160,1986-02-04,A,旅行、料理、琴,神奈川県
228,里美ゆりあ,28011,Satomi Yuria,さとみゆりあ,86,D,58,83,158,1984-12-17,AB,映画鑑賞,神奈川県
229,新井リマ,1069952,Arai Rima,あらいりま,,,,,,2000-10-03,,貯金,兵庫県
230,三原ほのか,1028704,Mihara Honoka,みはらほのか,90,G,58,85,156,1994-05-01,A,買い物、料理,埼玉県
231,夢乃あいか,1019323,Yumeno Aika,ゆめのあいか,79,G,52,78,149,1994-08-26,,,
232,小澤マリア,15187,OZAWA Maria,おざわまりあ,88,E,58,86,162,1986-01-08,A,ギター,北海道
233,安野由美,1025133,Anno Yumi,あんのゆみ,87,D,63,93,160,1963-06-20,,ジム、犬、料理,東京都
234,上原花恋,,Karen Uehara,,34,C,24,36,163,,,,
